"Story","Title","Result","Date","Stability","Duration (s)"
"Make a purchase","Login with User","PENDING","2021-08-05T10:49:20.8432831-05:00[America/Bogota]","0.0","0.31"
"Make a purchase","Title of your scenario","PENDING","2021-08-05T10:49:21.224856-05:00[America/Bogota]","0.0","0.07"
