"Story","Title","Result","Date","Stability","Duration (s)"
"Log into the website JPetStore","Log in to the website","PENDING","2021-07-16T10:57:36.217-05:00[America/Bogota]","0.0","0.42"
"Sign Up into the website Utest","Sign Up in to the website","SUCCESS","2021-07-16T11:36:24.765-05:00[America/Bogota]","0.0","21.95"
